battery_id,framework_formula,graph_file,status,num_atoms,num_edges
BAT_02135,MnFe(PO4)2,BAT_02135.pt,success,36,1506
BAT_02136,Mn2Fe(PO4)3,BAT_02136.pt,success,36,1464
BAT_02137,Mn3Fe2Sn(PO4)6,BAT_02137.pt,success,36,1434
BAT_02138,MnFe2(PO4)3,BAT_02138.pt,success,36,1440
BAT_02139,Mn3Fe(PO4)4,BAT_02139.pt,success,48,1950
BAT_02140,Mn7Fe(PO4)12,BAT_02140.pt,success,68,2758
BAT_02141,Mn3FeO8,BAT_02141.pt,success,48,2092
BAT_02142,MnFe(PO4)2,BAT_02142.pt,success,24,972
BAT_02143,MnFe3(PO4)4,BAT_02143.pt,success,24,986
BAT_02144,Mn3Fe(PO4)6,BAT_02144.pt,success,34,1318
BAT_02145,MnFe3(PO4)4,BAT_02145.pt,success,48,1960
BAT_02146,Mn5(FeO6)2,BAT_02146.pt,success,38,1676
BAT_02147,Mn3FeO8,BAT_02147.pt,success,24,1172
BAT_02148,Mn11Fe(PO4)12,BAT_02148.pt,success,72,2928
BAT_02149,MnFe(PO4)2,BAT_02149.pt,success,72,2932
BAT_02150,Mn3Fe(PO4)4,BAT_02150.pt,success,24,974
BAT_02151,Mn5Fe(PO4)6,BAT_02151.pt,success,36,1476
BAT_02152,Fe2(MoO4)3,BAT_02152.pt,success,68,1984
BAT_02153,Ti2Mn3Fe3O16,BAT_02153.pt,success,24,1110
BAT_02154,Mn3Fe2Sb3O16,BAT_02154.pt,success,24,1034
BAT_02155,MnV4FeO12,BAT_02155.pt,success,18,632
BAT_02156,Mn2Fe3Sn(PO4)6,BAT_02156.pt,success,36,1422
BAT_02157,Mn3Fe3(TeO8)2,BAT_02157.pt,success,24,1054
BAT_02158,Mn2Fe3P6WO24,BAT_02158.pt,success,36,1398
BAT_02159,Mn3Fe3(SbO8)2,BAT_02159.pt,success,24,1082
BAT_02161,Na2Ti3Fe(PO4)6,BAT_02161.pt,success,36,1500
BAT_02162,Na3Fe3(PO4)4,BAT_02162.pt,success,52,1940
BAT_02164,Na2Fe(Si2O5)3,BAT_02164.pt,success,96,3760
BAT_02167,Nb2Fe3O10,BAT_02167.pt,success,15,552
BAT_02168,NbFe3O8,BAT_02168.pt,success,12,460
BAT_02169,NbFeO4,BAT_02169.pt,success,24,832
BAT_02170,NbFe5O12,BAT_02170.pt,success,18,612
BAT_02171,NaFe2(SiO3)4,BAT_02171.pt,success,19,814
BAT_02172,NbFe5(PO4)6,BAT_02172.pt,success,36,1410
BAT_02173,Fe3NiO8,BAT_02173.pt,success,12,584
BAT_02174,NbFe7(PO4)12,BAT_02174.pt,success,68,2540
BAT_02175,FeNi3O8,BAT_02175.pt,success,24,1092
BAT_02176,Fe2Ni3O10,BAT_02176.pt,success,15,690
BAT_02177,Fe5NiO12,BAT_02177.pt,success,18,660
BAT_02178,Fe3(NiO5)2,BAT_02178.pt,success,15,654
BAT_02179,Fe5(NiO6)2,BAT_02179.pt,success,19,852
BAT_02180,Fe2NiO6,BAT_02180.pt,success,27,1222
BAT_02181,FeNi3O8,BAT_02181.pt,success,24,1244
BAT_02182,FeNiO4,BAT_02182.pt,success,12,536
BAT_02184,Fe3Ni7O20,BAT_02184.pt,success,30,1304
BAT_02185,FeNi9O20,BAT_02185.pt,success,30,1418
BAT_02186,Fe3Ni(PO4)4,BAT_02186.pt,success,24,984
BAT_02188,Fe5Ni(PO4)6,BAT_02188.pt,success,36,1458
BAT_02189,FeNi(PO4)2,BAT_02189.pt,success,24,1040
BAT_02190,Fe2Ni(PO4)3,BAT_02190.pt,success,36,1440
BAT_02191,FeNi3(PO4)4,BAT_02191.pt,success,24,1022
BAT_02192,TiFe2Ni3(PO4)6,BAT_02192.pt,success,36,1470
BAT_02193,Ti2Fe3Ni3O16,BAT_02193.pt,success,24,1040
BAT_02194,FeO2,BAT_02194.pt,success,15,622
BAT_02196,Fe5O8,BAT_02196.pt,success,13,540
BAT_02197,Fe3O4,BAT_02197.pt,success,7,314
BAT_02198,FeO6,BAT_02198.pt,success,7,168
BAT_02199,FeO2,BAT_02199.pt,success,3,130
BAT_02200,FeO3,BAT_02200.pt,success,48,1996
BAT_02202,FeO2,BAT_02202.pt,success,12,524
BAT_02205,FeO3,BAT_02205.pt,success,16,720
BAT_02206,FeO2,BAT_02206.pt,success,12,504
BAT_02207,FeO4,BAT_02207.pt,success,40,964
BAT_02208,FeO4,BAT_02208.pt,success,10,256
BAT_02209,Fe3O8,BAT_02209.pt,success,11,424
BAT_02210,Fe5O12,BAT_02210.pt,success,17,674
BAT_02211,Fe5O12,BAT_02211.pt,success,34,1310
BAT_02212,FeO3,BAT_02212.pt,success,8,304
BAT_02214,Fe3O8,BAT_02214.pt,success,22,816
