battery_id,framework_formula,num_steps,max_delta_volume,endpoint_delta_abs,volume_residual,abs_volume_residual,contains_F,contains_V,contains_Mn,contains_Fe,contains_Co,contains_Ni
BAT_02264,Fe5(P2O7)4,2,0.007965145683528,0.0079022030676638,6.294261586416681e-05,6.294261586416681e-05,True,False,False,True,False,False
BAT_02265,FeP4O13,2,0.065199055282456,0.0612083290557264,0.0039907262267295,0.0039907262267295,True,False,False,True,False,False
BAT_02266,FeP2O7,1,0.048410090432895,0.046174766406527,0.0022353240263679,0.0022353240263679,True,False,False,True,False,False
BAT_02267,Fe3P8O29,2,0.056456915235829,0.0534398658874052,0.0030170493484237,0.0030170493484237,True,False,False,True,False,False
BAT_02268,Fe3P3O13,1,0.005085635827754,0.0050599033523129,2.573247544103343e-05,2.573247544103343e-05,True,False,False,True,False,False
BAT_02269,Fe2P3O10,1,0.029773622974997,0.0297736232222695,-2.4727255659717784e-10,2.4727255659717784e-10,True,False,False,True,False,False
BAT_02270,FeP2O7,2,0.028261706549256,0.0018642078705817,0.0263974986786742,0.0263974986786742,True,False,False,True,False,False
BAT_02272,FeP2O7,1,0.025337950974353,0.0247118042561183,0.0006261467182346,0.0006261467182346,True,False,False,True,False,False
BAT_02273,Fe2P2O9,1,0.036861167955307,0.0355507262404145,0.0013104417148924,0.0013104417148924,True,False,False,True,False,False
BAT_02274,Fe(PO3)3,1,0.024122449456892,0.024122449456893,-9.992007221626409e-16,9.992007221626409e-16,True,False,False,True,False,False
BAT_02275,FeP2O7,2,0.037405513232359,0.0258069372394974,0.0115985759928615,0.0115985759928615,True,False,False,True,False,False
BAT_02276,FeP2O7,2,0.082201524694838,0.0089266193897498,0.0732749053050881,0.0732749053050881,True,False,False,True,False,False
BAT_02277,Fe5(P3O11)2,1,0.009794939797347,0.0097949400106433,-2.1329637535372203e-10,2.1329637535372203e-10,True,False,False,True,False,False
BAT_02278,FePO4,1,0.061233715544775,0.0032628756600656,0.0579708398847093,0.0579708398847093,True,False,False,True,False,False
BAT_02279,FeP2O7,1,0.014660789909829,0.0144489568848215,0.0002118330250074,0.0002118330250074,True,False,False,True,False,False
BAT_02280,Fe(PO4)2,1,0.004601904242337,0.004601905540816,-1.2984790491096796e-09,1.2984790491096796e-09,True,False,False,True,False,False
BAT_02281,Fe9(PO4)8,1,0.014841544193299,0.0146244951616997,0.0002170490315992,0.0002170490315992,True,False,False,True,False,False
BAT_02283,FePO4,2,0.026701392711024,0.0124676594467134,0.0142337332643105,0.0142337332643105,True,False,False,True,False,False
BAT_02284,Fe2(PO4)3,1,0.005745626739632,0.0057456286778011,-1.9381691017741894e-09,1.9381691017741894e-09,True,False,False,True,False,False
BAT_02285,FePO4,1,0.163514441973768,0.1405349485999079,0.02297949337386,0.02297949337386,True,False,False,True,False,False
BAT_02286,FePO4,2,0.022463639130684,0.0074936143898288,0.0149700247408551,0.0149700247408551,True,False,False,True,False,False
BAT_02287,Fe3(PO4)4,1,0.036606261852087,0.0353135638116895,0.0012926980403974,0.0012926980403974,True,False,False,True,False,False
BAT_02288,FeP2O7,1,0.032996177726613,0.0319422067318699,0.0010539709947431,0.0010539709947431,True,False,False,True,False,False
BAT_02289,FePO4,1,0.00299486468192,0.0029859225076939,8.942174226004782e-06,8.942174226004782e-06,True,False,False,True,False,False
BAT_02290,FeP2O7,1,0.031491469327076,0.0305300333733023,0.0009614359537736,0.0009614359537736,True,False,False,True,False,False
BAT_02291,FeP2O7,1,0.035264312957085,0.0340631013272401,0.0012012116298448,0.0012012116298448,True,False,False,True,False,False
BAT_02292,FeP2O7,1,0.052205318435475,0.0496151445940031,0.0025901738414718,0.0025901738414718,True,False,False,True,False,False
BAT_02293,Fe4(PO4)3,1,0.000868144114001,0.0008681461457626,-2.0317616073730824e-09,2.0317616073730824e-09,True,False,False,True,False,False
BAT_02295,FePO4,1,0.113781402880349,0.1021577506915622,0.0116236521887867,0.0116236521887867,True,False,False,True,False,False
BAT_02296,Fe2(PO4)3,2,0.034227154066261,0.0330944249655767,0.0011327291006842,0.0011327291006842,True,False,False,True,False,False
BAT_02297,Fe3(PO4)4,1,0.067699544662172,0.0634069241779634,0.0042926204842085,0.0042926204842085,True,False,False,True,False,False
BAT_02298,Fe(PO4)2,1,0.022610561627826,0.0221106280568572,0.0004999335709687,0.0004999335709687,True,False,False,True,False,False
BAT_02299,Fe(PO3)4,1,0.012100569864138,0.0119558960029322,0.0001446738612057,0.0001446738612057,True,False,False,True,False,False
BAT_02300,Fe(PO4)2,1,0.029082501301479,0.0282606118019588,0.0008218894995201,0.0008218894995201,True,False,False,True,False,False
BAT_02302,Fe3(P2O7)2,1,0.016209433441884,0.0159508791920056,0.0002585542498783,0.0002585542498783,True,False,False,True,False,False
BAT_02303,Fe5(PO4)4,1,0.033175345147056,0.0331753462443005,-1.0972445313450763e-09,1.0972445313450763e-09,True,False,False,True,False,False
BAT_02304,Fe3(PO4)4,1,0.05930782921633,0.0559873415109273,0.0033204877054026,0.0033204877054026,True,False,False,True,False,False
BAT_02305,FeP2O9,1,0.012176103118689,0.0120296262218883,0.0001464768968006,0.0001464768968006,True,False,False,True,False,False
BAT_02306,Fe(PO4)2,1,0.036212042896267,0.0349465566098475,0.0012654862864194,0.0012654862864194,True,False,False,True,False,False
BAT_02308,FePO4,1,0.097290927749932,0.0886646606560708,0.0086262670938611,0.0086262670938611,True,False,False,True,False,False
BAT_02309,FeP2O7,1,0.099325903956339,0.0903516455957587,0.0089742583605802,0.0089742583605802,True,False,False,True,False,False
BAT_02310,FeP2O7,2,0.045074100929097,0.0215758225203889,0.023498278408708,0.023498278408708,True,False,False,True,False,False
BAT_02311,FeP2O7,4,0.033374470746635,0.0333744709195889,-1.72953928956332e-10,1.72953928956332e-10,True,False,False,True,False,False
BAT_02313,FePO4,1,0.069763680911937,0.0697636809119376,-5.967448757360216e-16,5.967448757360216e-16,True,False,False,True,False,False
BAT_02314,FePO5,1,0.006739265591828,0.0067392655709422,2.0885771410961148e-11,2.0885771410961148e-11,True,False,False,True,False,False
BAT_02315,FePO4,1,0.175766799508324,0.1113967875743876,0.0643700119339363,0.0643700119339363,True,False,False,True,False,False
BAT_02316,FePO4,1,0.057213168345342,0.0572131672128771,1.1324648441224383e-09,1.1324648441224383e-09,True,False,False,True,False,False
BAT_02317,Fe(PO4)2,1,0.013561213646674,0.0133797679406112,0.0001814457060627,0.0001814457060627,True,False,False,True,False,False
BAT_02318,FePO4,1,0.093300465600534,0.0853383571452935,0.0079621084552404,0.0079621084552404,True,False,False,True,False,False
BAT_02319,Fe(PO3)3,1,0.025989487357177,0.0253311451651055,0.0006583421920714,0.0006583421920714,True,False,False,True,False,False
BAT_02320,Fe7(PO4)8,1,0.008453804533686,0.0084538055972497,-1.063563724937322e-09,1.063563724937322e-09,True,False,False,True,False,False
BAT_02321,Fe5Sb(PO4)6,1,0.049316877760294,0.049316878243503,-4.832090838569059e-10,4.832090838569059e-10,True,False,False,True,False,False
BAT_02322,Fe3Sb(PO4)4,1,0.055870134932014,0.0558701356824562,-7.504422500081985e-10,7.504422500081985e-10,True,False,False,True,False,False
BAT_02324,Fe7Te(PO4)12,1,0.01218131085953,0.0120347118582951,0.0001465990012348,0.0001465990012348,True,False,False,True,False,False
BAT_02325,FeSn(PO4)2,1,0.119366757939736,0.1193667592235598,-1.2838237972712108e-09,1.2838237972712108e-09,True,False,False,True,False,False
BAT_02326,Fe3Sb(PO4)6,1,0.001921936363528,0.0019182504498417,3.6859136862564448e-06,3.6859136862564448e-06,True,False,False,True,False,False
BAT_02327,TiFe3(PO4)6,2,0.043553175022297,0.0032976726235511,0.0402555023987458,0.0402555023987458,True,False,False,True,False,False
BAT_02328,VFe3(PO4)6,1,0.01367067541944,0.013486308605792,0.0001843668136479,0.0001843668136479,True,True,False,True,False,False
BAT_02329,Ti3Fe(PO4)6,2,0.021552192613268,0.0123681953218811,0.0091839972913868,0.0091839972913868,True,False,False,True,False,False
BAT_02330,VFe3(PO4)4,1,0.061323441257394,0.061323441072337,1.8505690729808674e-10,1.8505690729808674e-10,True,True,False,True,False,False
BAT_02331,V3Fe(PO4)6,1,0.030496756830814,0.0304967580097003,-1.1788863496509092e-09,1.1788863496509092e-09,True,True,False,True,False,False
BAT_02332,VFe7(PO4)12,1,0.011269886198883,0.0111442907249623,0.0001255954739206,0.0001255954739206,True,True,False,True,False,False
BAT_02333,VFe(PO4)2,1,0.041068615967482,0.0410686155753736,3.921083457925078e-10,3.921083457925078e-10,True,True,False,True,False,False
BAT_02334,VFe(P2O7)2,3,0.054003401912552,0.0478499914452363,0.0061534104673156,0.0061534104673156,True,True,False,True,False,False
BAT_02335,Fe7P12WO48,1,0.015870303091575,0.0156223715287393,0.0002479315628356,0.0002479315628356,True,False,False,True,False,False
BAT_02336,ZnFe(PO4)2,1,0.016671797524838,0.0166717972357585,2.890794929821805e-10,2.890794929821805e-10,True,False,False,True,False,False
BAT_02337,Fe5P6WO24,1,0.061159116465976,0.0611591170355684,-5.695924149007324e-10,5.695924149007324e-10,True,False,False,True,False,False
