battery_id,framework_formula,formula_charge,formula_discharge,id_charge,id_discharge,max_delta_volume,num_steps
BAT_00261,FePCO7,LiFePCO7,Li2FePCO7,mp-1176697,mp-755726,0.039524122623064,1
BAT_00262,FePCO7,LiFePCO7,Li2FePCO7,mp-1176696,mp-768645,0.025084962424101,1
BAT_00263,Fe2C4SO16,Li4Fe2C4SO16,Li6Fe2C4SO16,mp-781611,mp-770599,0.035721472116607,1
BAT_00264,FePCO7,Li2FePCO7,Li5Fe2P2(CO7)2,mp-768491,mp-1177175,0.018003017914549,1
BAT_00265,FeSiCO7,Li2FeSiCO7,Li3FeSiCO7,mp-772072,mp-770822,0.018860311594585,1
BAT_00266,FeCSO7,FeCSO7,Li2FeCSO7,mp-1178258,mp-771011,0.024016047805679,2
BAT_00267,NiH8(CO5)2,NiH8(CO5)2,Li2NiH8(CO5)2,mp-772564,mp-771916,0.025910491830266,1
BAT_00269,KMnPCO7,KMnPCO7,KLiMnPCO7,mp-773432,mp-761124,0.013930594037867,1
BAT_00272,Mn(CO3)2,Mn(CO3)2,LiMn(CO3)2,mp-754012,mp-1295192,0.051396952532489,1
BAT_00273,NaMnPCO7,NaMnPCO7,NaLi2MnPCO7,mp-769584,mp-755754,0.013612153435616,2
BAT_00274,Na2MnPCO7,Na2MnPCO7,Na2LiMnPCO7,mp-780530,mp-764273,0.027532452689224,1
BAT_00275,Na2MnPCO7,Na2MnPCO7,Na2LiMnPCO7,mp-768058,mp-772500,0.00399348674755,1
BAT_00276,Mn(CO3)2,LiMn2(CO3)4,Li2Mn(CO3)2,mp-763560,mp-765973,0.045566094111588,2
BAT_00277,Mn(CO3)2,LiMn2(CO3)4,Li3Mn2(CO3)4,mp-758704,mp-758761,0.029486368044829,2
BAT_00278,Mn(CO3)4,Li3Mn(CO3)4,Li5Mn(CO3)4,mp-758628,mp-765023,0.077035606239165,1
BAT_00279,Mn(CO3)2,Mn(CO3)2,Li2Mn(CO3)2,mp-762239,mp-765989,0.142999833083565,2
BAT_00280,MnCO5,Li3Mn2(CO5)2,Li2MnCO5,mp-758407,mp-764236,0.005250765213578,1
BAT_00281,MnPCO7,Li3Mn2P2(CO7)2,Li5Mn2P2(CO7)2,mp-768836,mp-769300,0.017337310307297,1
BAT_00282,MnPCO7,LiMnPCO7,Li3MnPCO7,mp-756529,mp-25461,0.022366448441633,2
BAT_00283,MnPCO7,LiMnPCO7,Li5Mn2P2(CO7)2,mp-768697,mp-768855,0.054217846988892,2
BAT_00284,MnPCO7,LiMnPCO7,Li2MnPCO7,mp-770237,mp-768948,0.026720925986597,2
BAT_00285,MnPCO7,LiMnPCO7,Li2MnPCO7,mp-1176660,mp-1177908,0.014165616682839,1
BAT_00286,MnPCO7,Li3Mn2P2(CO7)2,Li5Mn2P2(CO7)2,mp-1177646,mp-768935,0.004541860797021,1
BAT_00287,Mn2C4SO16,Li4Mn2C4SO16,Li6Mn2C4SO16,mp-776358,mp-771387,0.003849688488193,1
BAT_00288,MnCSO7,MnCSO7,Li2MnCSO7,mp-754649,mp-780526,0.080578998315653,2
